src_id,relation,dst_id
Th_POL-00345,event-target-person-subjectPerson,PER-00183
Th_POL-00345,event-target-person-relatedPerson,PER-00199
Th_POL-00345,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00346,event-target-person-subjectPerson,PER-00199
Th_POL-00346,event-target-person-relatedPerson,PER-00183
Th_POL-00347,event-target-person-subjectPerson,PER-00183
Th_POL-00348,event-target-person-subjectPerson,PER-00183
Th_POL-00349,event-target-person-subjectPerson,PER-00183
Th_POL-00350,event-target-person-subjectPerson,PER-00183
Th_POL-00351,event-target-person-subjectPerson,PER-00183
Th_MIL-00085,event-target-person-subjectPerson,PER-00183
Th_MIL-00086,event-target-person-relatedPerson,PER-00183
Th_POL-00354,event-target-person-subjectPerson,PER-00183
Th_POL-00355,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00357,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00357,event-target-person-relatedPerson,PER-00183
Th_POL-00358,event-target-person-subjectPerson,PER-00183
Th_POL-00358,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00359,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00359,event-target-person-relatedPerson,PER-00183
Th_POL-00360,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00360,event-target-person-relatedPerson,PER-00183
Th_POL-00361,event-target-organization-relatedOrganization,ORG-00073
Th_POL-00361,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00361,event-target-person-relatedPerson,PER-00183
Th_POL-00362,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00362,event-target-person-relatedPerson,PER-00183
Th_POL-00363,event-target-person-subjectPerson,PER-00183
Th_POL-00363,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00364,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00366,event-target-person-subjectPerson,PER-00183
Th_POL-00366,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00367,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00368,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00369,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00369,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00370,event-target-organization-relatedOrganization,ORG-00030
Th_ECON-00087,event-target-person-subjectPerson,PER-00183
Th_ECON-00087,event-target-organization-subjectOrganization,ORG-00072
Th_ECON-00088,event-target-person-subjectPerson,PER-00183
Th_ECON-00088,event-target-organization-subjectOrganization,ORG-00072
Th_ECON-00089,event-target-person-relatedPerson,PER-00183
Th_ECON-00089,event-target-organization-relatedOrganization,ORG-00072
Th_ECON-00090,event-target-person-subjectPerson,PER-00183
Th_ECON-00090,event-target-organization-relatedOrganization,ORG-00337
Th_ECON-00091,event-target-organization-relatedOrganization,ORG-00337
Th_ECON-00095,event-target-person-relatedPerson,PER-00183
Th_ECON-00096,event-target-person-relatedPerson,PER-00183
Th_ECON-00097,event-target-person-relatedPerson,PER-00183
Th_ECON-00098,event-target-person-relatedPerson,PER-00183
Th_ECON-00101,event-target-organization-relatedOrganization,ORG-00144
Th_ECON-00102,event-target-organization-relatedOrganization,ORG-00144
Th_ECON-00103,event-target-person-relatedPerson,PER-00183
Th_ECON-00105,event-target-organization-subjectOrganization,ORG-00031
Th_ECON-00105,event-target-organization-relatedOrganization,ORG-00072
Th_ECON-00114,event-target-organization-relatedOrganization,ORG-00205
Th_POL-00371,event-target-person-subjectPerson,PER-00183
Th_POL-00371,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00375,event-target-person-subjectPerson,PER-00183
Th_ECON-00115,event-target-person-subjectPerson,PER-00183
Th_ECON-00115,event-target-organization-relatedOrganization,ORG-00337
Th_ECON-00116,event-target-person-subjectPerson,PER-00183
Th_ECON-00117,event-target-organization-relatedOrganization,ORG-00337
Th_ECON-00119,event-target-person-subjectPerson,PER-00183
Th_ECON-00119,event-target-organization-relatedOrganization,ORG-00337
Th_POL-00384,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00389,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00390,event-target-organization-subjectOrganization,ORG-00049
Th_ECON-00130,event-target-organization-subjectOrganization,ORG-00293
Th_MIL-00087,event-target-organization-relatedOrganization,ORG-00137
Th_POL-00395,event-target-person-subjectPerson,PER-00183
Th_POL-00396,event-target-person-subjectPerson,PER-00183
Th_POL-00397,event-target-person-relatedPerson,PER-00183
Th_MIL-00094,event-target-person-subjectPerson,PER-00183
Th_MIL-00095,event-target-person-relatedPerson,PER-00183
Th_POL-00398,event-target-person-subjectPerson,PER-00183
Th_POL-00398,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00399,event-target-person-subjectPerson,PER-00183
Th_POL-00399,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00401,event-target-person-subjectPerson,PER-00183
Th_POL-00402,event-target-person-subjectPerson,PER-00183
Th_POL-00403,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00404,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00405,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00406,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00407,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00408,event-target-person-subjectPerson,PER-00183
Th_POL-00408,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00409,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00410,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00413,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00414,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00415,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00425,event-target-person-relatedPerson,PER-00183
Th_POL-00427,event-target-organization-relatedOrganization,ORG-00203
Th_POL-00428,event-target-person-relatedPerson,PER-00116
Th_POL-00429,event-target-person-relatedPerson,PER-00183
Th_POL-00430,event-target-person-subjectPerson,PER-00183
Th_POL-00433,event-target-organization-relatedOrganization,ORG-00073
Th_POL-00440,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00441,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00442,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00443,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00444,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00445,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00446,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00448,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00449,event-target-organization-subjectOrganization,ORG-00161
Th_POL-00453,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00454,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00460,event-target-organization-affectedOrganization,ORG-00048
Th_POL-00462,event-target-person-relatedPerson,PER-00183
Th_POL-00463,event-target-person-subjectPerson,PER-00183
Th_POL-00471,event-target-person-relatedPerson,PER-00183
Th_POL-00473,event-target-person-relatedPerson,PER-00183
Th_POL-00476,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00476,event-target-person-subjectPerson,PER-00183
Th_POL-00479,event-target-person-subjectPerson,PER-00116
Th_POL-00481,event-target-person-relatedPerson,PER-00183
Th_POL-00482,event-target-person-subjectPerson,PER-00183
Th_POL-00487,event-target-person-relatedPerson,PER-00183
Th_POL-00488,event-target-person-subjectPerson,PER-00183
Th_POL-00489,event-target-person-relatedPerson,PER-00183
Th_POL-00490,event-target-person-relatedPerson,PER-00183
Th_POL-00491,event-target-person-relatedPerson,PER-00183
Th_POL-00496,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00498,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00499,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00500,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00502,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00503,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00504,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00506,event-target-person-relatedPerson,PER-00183
Th_POL-00508,event-target-person-relatedPerson,PER-00183
